submission_sample_ID,sample_number,sample_year_extract_ID,sample_type,site,gene,year,lake.area.ha,lake.area.m2,elevation,fish,depth.feet,lat,long,water_cat,secchi,surface.temp,air.temp,o2,O2.percent,cond.us.cm,sp.Cond,pH.method,ph.ysi,ph.kit,alkalinity.drops,salinity,tn.mg.l,tp.mg.l,doc.mg,doc.um,chla,Tow depth,tn.umol.L,tp.umol.L
CBW_234_18S,319,2016_09,sierra,Cathedral.2.upper,18S,2016,4.4,4400,2924,Y,11,37.8393589,-119.4155802,mid,23,23.1,,,,70,,ysi,7.43,NA,,0,0.05,<0.10,,,,6,,
CBW_235_18S,320,2021_04,sierra,Sunrise1,18S,2021,2.6852,2685.2,2801,Y,16.6,37.8041514,-119.4521835,,24,22.7,,8.98,104.6,3.1,3.3,YSI,6.76,,,,0.16134,0.00619,1,,1.23,,,
CBW_236_18S,321,2016_02,sierra,Helen,18S,2016,21.0041,223126,3340,Y,35.1,37.8306612,-119.2287315,mid,32,15.9,,,,12.8,,ysi,7.86,NA,,0.01,0.12,<0.10,,,,9,,
CBW_237_18S,322,2017_23b,sierra,PollyDomeThree,18S,2017,0.6749,6749,2667,N,13.1,37.865471,-119.448998,wet,5,20,,,,3.8,,ysi,6.02,,,0,,not being processed bc always below <0.10,,,0.4,,,
CBW_238_18S,323,2021_15,sierra,Granite.2.upper,18S,2021,5.7932,5793.2,3177,Y,,37.9260157,-119.2791797,,30,16,,6.91,70.1,6.4,7.7,YSI,8.1,,,,0.23151,0.00898,0.7,,1.54,,,
CBW_239_18S,324,2021_21,sierra,PollyDomeOne,18S,2021,6.5243,65243,2652,N,11.5,37.861312,-119.455883,,13,23.5,,14.4,169.5,3.7,3.9,YSI,8.3,,,,0.20168,0.00557,1.8,,1.26,,,
CBW_240_18S,325,2017_06,sierra,Lukens,18S,2017,4.081,38710,2515,Y,16.4,37.859889,-119.6161365,wet,15,20,,,,,,ysi,6.4,,,,,not being processed bc always below <0.2,,,0.84,,,
CBW_241_18S,326,2017_09,sierra,Steelhead,18S,2017,8.3831,8383.1,3137,Y,34,37.993199,-119.3026364,wet,24.3,14.7,,,,79.9,,ysi,7.32,,,0.04,,not being processed bc always below <0.16,,,0.32,,,
CBW_242_18S,327,2021_08,sierra,Granite.1.lower,18S,2021,7.4796,7479.6,3167,Y,,37.9217949,-119.2758264,,35,16.4,,24.3,248.5,8.6,10.3,YSI,10.62,,,,0.12615,ND,0.6,,0.58,,,
CBW_244_18S,329,2021_16,sierra,Helen,18S,2021,21.0041,223126,3340,Y,35.1,37.8306612,-119.2287315,,33,14.4,,7.65,75,8.8,11,YSI,9.03,,,,0.1486,0.00929,NA,,1.81,,,
